"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
638552.990,849129.990,424.670,144.000,1.000,1.000,1.000,0.000,1.000,-7.000,124.000,7326.000,245372.046,170.000,125.000,152.000
638509.910,848979.560,423.390,33.000,1.000,1.000,1.000,0.000,1.000,-4.000,124.000,7326.000,245372.353,146.000,120.000,142.000
638386.480,849354.560,425.230,134.000,1.000,1.000,0.000,0.000,2.000,-13.000,126.000,7326.000,245372.617,163.000,120.000,148.000
638385.730,849129.590,534.810,8.000,1.000,3.000,0.000,0.000,1.000,-10.000,128.000,7326.000,245372.884,69.000,84.000,82.000
638323.980,849189.040,429.630,169.000,1.000,1.000,1.000,0.000,1.000,-12.000,126.000,7326.000,245373.138,118.000,122.000,149.000
638278.280,849185.930,425.790,190.000,1.000,1.000,0.000,0.000,2.000,-11.000,130.000,7326.000,245373.382,116.000,113.000,140.000
638217.850,849311.580,429.530,16.000,1.000,1.000,0.000,0.000,1.000,-13.000,130.000,7326.000,245373.574,70.000,84.000,80.000
638205.150,849186.150,425.260,43.000,1.000,1.000,0.000,0.000,1.000,-9.000,128.000,7326.000,245373.784,98.000,94.000,100.000
638136.060,849348.460,449.640,70.000,1.000,2.000,0.000,0.000,1.000,-11.000,126.000,7326.000,245373.996,100.000,106.000,124.000
638115.910,849266.340,448.330,1.000,1.000,2.000,1.000,0.000,1.000,-9.000,128.000,7326.000,245374.210,83.000,96.000,98.000
638092.850,849224.870,538.650,33.000,2.000,3.000,0.000,0.000,1.000,-9.000,128.000,7326.000,245374.417,104.000,104.000,120.000
638038.550,849298.200,468.670,26.000,1.000,2.000,0.000,0.000,1.000,-10.000,135.000,7326.000,245374.609,74.000,84.000,87.000
637996.850,849325.260,424.570,18.000,1.000,1.000,0.000,0.000,1.000,-10.000,131.000,7326.000,245374.800,96.000,104.000,108.000
637992.390,849232.640,538.750,4.000,1.000,3.000,0.000,0.000,1.000,-9.000,130.000,7326.000,245374.991,65.000,78.000,78.000
637990.260,849063.160,428.280,4.000,1.000,1.000,1.000,0.000,1.000,-5.000,128.000,7326.000,245375.227,57.000,81.000,75.000
637934.150,849148.230,466.570,8.000,1.000,2.000,1.000,0.000,1.000,-7.000,130.000,7326.000,245375.494,96.000,100.000,113.000
637931.100,848955.380,413.020,216.000,1.000,1.000,1.000,0.000,1.000,-3.000,127.000,7326.000,245375.802,78.000,95.000,92.000
637810.990,849126.870,411.780,2.000,1.000,1.000,0.000,0.000,2.000,-7.000,126.000,7326.000,245376.312,178.000,142.000,169.000
637634.910,849206.590,411.480,1.000,1.000,1.000,0.000,0.000,2.000,-9.000,126.000,7326.000,245377.117,108.000,92.000,106.000
637337.760,848956.230,422.540,20.000,2.000,2.000,1.000,0.000,1.000,-8.000,133.000,7326.000,245379.116,54.000,64.000,70.000
637239.670,849978.510,424.800,59.000,2.000,2.000,1.000,0.000,1.000,7.000,126.000,7327.000,246101.438,70.000,72.000,84.000
637187.070,849495.280,411.350,225.000,1.000,1.000,1.000,0.000,2.000,-1.000,126.000,7327.000,246101.704,74.000,86.000,93.000
637271.650,849755.090,507.510,1.000,2.000,3.000,0.000,0.000,1.000,4.000,126.000,7327.000,246101.884,82.000,90.000,94.000
637332.450,849887.800,520.830,54.000,1.000,2.000,0.000,0.000,1.000,8.000,128.000,7327.000,246102.055,97.000,106.000,115.000
637398.590,850033.660,428.280,91.000,2.000,2.000,1.000,0.000,1.000,11.000,126.000,7327.000,246102.205,108.000,114.000,126.000
637180.910,848943.010,452.990,1.000,1.000,2.000,1.000,0.000,1.000,-11.000,126.000,7327.000,246102.353,82.000,71.000,84.000
637257.090,849161.750,411.090,5.000,1.000,1.000,0.000,0.000,2.000,-7.000,124.000,7327.000,246102.500,80.000,88.000,95.000
637460.530,849915.550,425.750,68.000,1.000,1.000,0.000,0.000,1.000,8.000,126.000,7327.000,246102.668,67.000,66.000,79.000
637449.340,849747.210,428.080,173.000,1.000,1.000,0.000,0.000,2.000,4.000,126.000,7327.000,246102.842,140.000,106.000,134.000
637432.870,849567.520,420.280,25.000,3.000,3.000,0.000,0.000,2.000,0.000,124.000,7327.000,246103.015,52.000,66.000,65.000
637341.990,849088.190,411.580,23.000,1.000,1.000,0.000,0.000,1.000,-10.000,126.000,7327.000,246103.190,78.000,88.000,92.000
